0;Militära yrken
01;Officerare
011;Officerare
0110;Officerare
02;Specialistofficerare
021;Specialistofficerare
0210;Specialistofficerare
03;Soldater m.fl.
031;Soldater m.fl.
0310;Soldater m.fl.
1;Chefsyrken
11;Politiker, verkställande direktörer och högre ämbetsmän m.fl.
111;Politiker och högre ämbetsmän
1111;Politiker
1112;General-, landstings- och kommundirektörer m.fl.
1113;Chefstjänstemän i intresseorganisationer
112;Verkställande direktörer m.fl.
1120;Verkställande direktörer m.fl.
12;Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.
121;Ekonomi- och finanschefer
1211;Ekonomi- och finanschefer, nivå 1
1212;Ekonomi- och finanschefer, nivå 2
122;Personal- och HR-chefer
1221;Personal- och HR-chefer, nivå 1
1222;Personal- och HR-chefer, nivå 2
123;Förvaltnings- och planeringschefer
1230;Förvaltnings- och planeringschefer
124;Informations-, kommunikations- och PR-chefer
1241;Informations-, kommunikations- och PR-chefer, nivå 1
1242;Informations-, kommunikations - och PR-chefer, nivå 2
125;Försäljnings- och marknadschefer
1251;Försäljnings- och marknadschefer, nivå 1
1252;Försäljnings- och marknadschefer, nivå 2
129;Övriga administrations- och servicechefer
1291;Övriga administrations- och servicechefer, nivå 1
1292;Övriga administrations- och servicechefer, nivå 2
13;Chefer inom IT, logistik, FoU, fastighetsbolag, bygg- och ingenjörsverksamhet samt tillverkning m.m.
131;IT-chefer
1311;IT-chefer, nivå 1
1312;IT-chefer, nivå 2
132;Inköps-, logistik- och transportchefer
1321;Inköps-, logistik- och transportchefer, nivå 1
1322;Inköps-, logistik- och transportchefer, nivå 2
133;Forsknings- och utvecklingschefer
1331;Forsknings- och utvecklingschefer, nivå 1
1332;Forsknings- och utvecklingschefer, nivå 2
134;Chefer inom arkitekt- och ingenjörsverksamhet
1341;Chefer inom arkitekt- och ingenjörsverksamhet, nivå 1
1342;Chefer inom arkitekt- och ingenjörsverksamhet, nivå 2
135;Fastighets- och förvaltningschefer
1351;Fastighets- och förvaltningschefer, nivå 1
1352;Fastighets- och förvaltningschefer, nivå 2
136;Driftchefer inom bygg, anläggning och gruva
1361;Driftchefer inom bygg, anläggning och gruva, nivå 1
1362;Driftchefer inom bygg, anläggning och gruva, nivå 2
137;Produktionschefer inom tillverkning
1371;Produktionschefer inom tillverkning, nivå 1
1372;Produktionschefer inom tillverkning, nivå 2
138;Förvaltare inom skogsbruk och lantbruk m.fl.
1380;Förvaltare inom skogsbruk och lantbruk m.fl.
14;Chefer inom utbildning
141;Chefer inom grund- och gymnasieskola samt vuxenutbildning
1411;Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning, nivå 1
1412;Rektorer, nivå 2
142;Chefer inom förskoleverksamhet
1421;Avdelningschefer inom förskola, nivå 1
1422;Förskolechefer, nivå 2
149;Övriga chefer inom utbildning
1491;Övriga avdelningschefer inom utbildning, nivå 1
1492;Övriga verksamhetschefer inom utbildning, nivå 2
15;Chefer inom hälso- och sjukvård samt annan samhällsservice
151;Chefer inom hälso- och sjukvård
1511;Klinik- och verksamhetschefer inom hälsa och sjukvård, nivå 1
1512;Avdelnings- och enhetschefer inom hälsa och sjukvård, nivå 2
152;Chefer inom socialt och kurativt arbete
1521;Avdelningschefer inom socialt och kurativt arbete, nivå 1
1522;Enhetschefer inom socialt och kurativt arbete, nivå 2
153;Chefer inom äldreomsorg
1531;Avdelningschefer inom äldreomsorg, nivå 1
1532;Enhetschefer inom äldreomsorg, nivå 2
154;Chefer och ledare inom trossamfund
1540;Chefer och ledare inom trossamfund
159;Övriga chefer inom samhällsservice
1591;Övriga chefer inom samhällsservice, nivå 1
1592;Övriga verksamhetschefer inom samhällsservice, nivå 2
16;Chefer inom bank, finans och försäkring
161;Chefer inom bank, finans och försäkring
1611;Chefer inom bank, finans och försäkring, nivå 1
1612;Chefer inom bank, finans och försäkring, nivå 2
17;Chefer inom övrig servicenäring
171;Hotell- och konferenschefer
1711;Hotell- och konferenschefer, nivå 1
1712;Hotell- och konferenschefer, nivå 2
172;Restaurang- och kökschefer
1721;Restaurang- och kökschefer, nivå 1
1722;Restaurang- och kökschefer, nivå 2
173;Chefer inom handel
1731;Chefer inom handel, nivå 1
1732;Chefer inom handel, nivå 2
174;Chefer inom friskvård, sport och fritid
1741;Chefer inom friskvård, sport och fritid, nivå 1
1742;Chefer inom friskvård, sport och fritid, nivå 2
179;Chefer inom övrig servicenäring
1791;Chefer inom övrig servicenäring, nivå 1
1792;Chefer inom övrig servicenäring, nivå 2
2;Yrken med krav på fördjupad högskolekompetens
21;Yrken med krav på fördjupad högskolekompetens inom naturvetenskap och teknik
211;Fysiker och kemister m.fl.
2111;Fysiker och astronomer
2112;Meteorologer
2113;Kemister
2114;Geologer och geofysiker m.fl.
212;Matematiker, aktuarier och statistiker
2121;Matematiker och aktuarier
2122;Statistiker
213;Biologer, farmakologer och specialister inom lant- och skogsbruk m.fl.
2131;Cell- och molekylärbiologer m.fl.
2132;Växt- och djurbiologer
2133;Farmakologer och biomedicinare
2134;Specialister och rådgivare inom lantbruk m.m.
2135;Specialister och rådgivare inom skogsbruk
214;Civilingenjörsyrken
2141;Civilingenjörsyrken inom logistik och produktionsplanering
2142;Civilingenjörsyrken inom bygg och anläggning
2143;Civilingenjörsyrken inom elektroteknik
2144;Civilingenjörsyrken inom maskinteknik
2145;Civilingenjörsyrken inom kemi och kemiteknik
2146;Civilingenjörsyrken inom gruvteknik och metallurgi
2149;Övriga civilingenjörsyrken
216;Arkitekter och lantmätare
2161;Arkitekter m.fl.
2162;Landskapsarkitekter
2163;Planeringsarkitekter m.fl.
2164;Lantmätare
217;Designer och formgivare
2171;Industridesigner
2172;Grafisk formgivare m.fl.
2173;Designer inom spel och digitala medier
2179;Övriga designer och formgivare
218;Specialister inom miljö- och hälsoskydd
2181;Arbetsmiljöingenjörer, yrkes- och miljöhygieniker
2182;Miljö- och hälsoskyddsinspektörer
2183;Specialister inom miljöskydd och miljöteknik
22;Yrken med krav på fördjupad högskolekompetens inom hälso- och sjukvård
221;Läkare
2211;Specialistläkare
2212;ST-läkare
2213;AT-läkare
2219;Övriga läkare
222;Sjuksköterskor
2221;Grundutbildade sjuksköterskor
2222;Barnmorskor
2223;Anestesisjuksköterskor
2224;Distriktssköterskor
2225;Psykiatrisjuksköterskor
2226;Ambulanssjuksköterskor m.fl.
2227;Geriatriksjuksköterskor
2228;Intensivvårdssjuksköterskor
223;Sjuksköterskor (fortsättning)
2231;Operationssjuksköterskor
2232;Barnsjuksköterskor
2233;Skolsköterskor
2234;Företagssköterskor
2235;Röntgensjuksköterskor
2239;Övriga specialistsjuksköterskor
224;Psykologer och psykoterapeuter
2241;Psykologer
2242;Psykoterapeuter
225;Veterinärer
2250;Veterinärer
226;Tandläkare
2260;Tandläkare
227;Naprapater, sjukgymnaster och arbetsterapeuter m.fl.
2271;Kiropraktorer och naprapater m.fl.
2272;Sjukgymnaster
2273;Arbetsterapeuter
228;Andra specialister inom hälso- och sjukvård
2281;Apotekare
2282;Dietister
2283;Audionomer och logopeder
2284;Optiker
2289;Övriga specialister inom hälso- och sjukvård
23;Yrken med krav på fördjupad högskolekompetens inom utbildning
231;Universitets- och högskollärare
2311;Professorer
2312;Universitets- och högskolelektorer
2313;Forskarassistenter m.fl.
2314;Doktorander
2319;Övriga universitets- och högskollärare
232;Lärare i yrkesämnen
